Hip,Distance UT,DistanceGO,Time UT,Time GO,Stride Frequency UT,Stride Frequency GO,Stride Length UT,Stride Length GO,diff
201.0,205.0,205.0,10,10.3,2.55,2.44,6.5,6.77,0.27
202.0,205.0,205.0,10.1,11.0,2.46,2.36,6.64,6.52,-0.12
203.0,404.32,205.0,21,11.3,2.86,2.67,6.74,6.78,0.04
204.0,205.0,205.0,,,,,,,
205.0,205.0,205.0,,,,,,,
206.0,205.0,205.0,,,,,,,
207.0,205.0,205.0,,,,,,,
208.0,205.0,205.0,10.1,11.0,2.83,2.65,7.16,7.03,-0.13
209.0,205.0,205.0,10,10.4,2.49,2.38,6.64,6.84,0.2
210.0,205.0,205.0,10,11.0,2.55,2.36,6.5,6.52,0.02
211.0,205.0,205.0,10.1,10.9,2.88,2.29,7.04,6.73,-0.31
212.0,404.32,205.0,21.4,11.9,2.8,2.62,6.74,6.56,-0.18
213.0,205.0,205.0,10.2,11.1,2.91,2.72,6.91,6.78,-0.13
214.0,205.0,205.0,,,,,,,
215.0,404.32,205.0,21.3,11.8,2.78,2.63,6.83,6.6,-0.23
216.0,205.0,205.0,10.4,11.7,2.34,2.72,6.7,6.43,-0.27
217.0,205.0,205.0,10.2,11.2,2.66,2.56,6.17,5.99,-0.18
218.0,205.0,205.0,,,,,,,
219.0,205.0,205.0,10.2,11.0,2.88,2.36,6.97,6.52,-0.45
220.0,205.0,205.0,10.1,10.9,2.93,2.75,6.92,6.85,-0.07
221.0,205.0,205.0,10,10.4,2.58,2.49,6.44,6.58,0.14
222.0,205.0,205.0,10,10.4,2.63,2.56,6.36,6.45,0.09
223.0,404.32,205.0,21.1,11.9,2.77,2.5,6.92,6.89,-0.03
224.0,205.0,205.0,,,,,,,
225.0,205.0,205.0,10.1,11.1,2.4,2.3,6.76,6.59,-0.17
226.0,205.0,205.0,10.1,11.0,2.52,2.33,6.52,6.58,0.06
227.0,205.0,205.0,10,10.3,2.58,2.52,6.44,6.59,0.15
228.0,205.0,205.0,,,,,,,
229.0,404.32,205.0,21,11.4,2.82,2.56,6.82,7.01,0.19
230.0,205.0,205.0,10.2,10.9,2.46,2.38,6.57,6.53,-0.04
231.0,205.0,205.0,10,11.0,2.37,2.3,6.91,6.65,-0.26
232.0,205.0,205.0,,,,,,,
233.0,205.0,205.0,10.1,10.9,2.86,2.72,7.1,6.9,-0.2
234.0,205.0,205.0,10,10.2,2.4,2.42,6.83,6.89,0.06
235.0,205.0,205.0,10.2,11.1,2.49,2.42,6.51,6.33,-0.18
236.0,205.0,205.0,10.3,11.1,2.37,2.72,6.71,6.78,0.07
237.0,205.0,205.0,10,10.4,2.91,2.67,7.05,7.37,0.32
238.0,205.0,205.0,10.3,11.1,2.46,2.36,6.51,6.46,-0.05
239.0,205.0,205.0,,,,,,,
240.0,205.0,205.0,10.1,11.0,2.86,2.6,7.1,7.16,0.06
241.0,205.0,205.0,10.1,11.1,2.34,2.75,6.9,6.72,-0.18
242.0,205.0,205.0,10.1,11.0,2.88,2.27,7.04,6.73,-0.31
243.0,205.0,205.0,10.2,11.1,2.63,2.5,6.23,6.15,-0.08
244.0,205.0,205.0,10,11.0,2.66,2.56,6.29,6.09,-0.2
245.0,205.0,205.0,10,10.3,2.4,2.3,6.83,7.11,0.28
246.0,205.0,205.0,10,10.4,2.82,2.58,7.26,7.63,0.37
247.0,205.0,205.0,,,,,,,
248.0,205.0,205.0,,,,,,,
249.0,205.0,205.0,,,,,,,
250.0,404.32,205.0,20.4,11.7,2.88,2.7,6.88,6.48,-0.4
251.0,205.0,205.0,10.1,11.0,2.85,2.7,7.12,6.9,-0.22
252.0,205.0,205.0,10.3,11.1,2.55,2.47,6.31,6.22,-0.09
253.0,205.0,205.0,9.4,10.8,2.93,2.75,7.44,6.91,-0.53
254.0,205.0,205.0,,,,,,,
255.0,205.0,205.0,9.4,10.8,2.59,2.43,6.83,6.47,-0.36
256.0,205.0,205.0,10.1,11.0,2.37,2.75,6.84,6.78,-0.06
