Hip,Sex,Sire,State,TBX #,Day / Set,Distance,UT Time,GO Time,G.O. 1/4,G.O. 3/8,G.O. 1/2,G.O. 5/8,A.W. 1/8,A.W. 1/4,A.W. 3/8,DI,CD,Wind,Temp,Notes,Track Cond.,Barn,Consignor,Auction History,Stud Fee
590,F,Tapwrit,FL,,3 / 67,1/4,21.1,,,,,,,,,,,,,,,4,"Ocala Stud, Agent",,
592,F,Tacitus,NY,,3 / 27,1/4,21.3,,,,,,,,,,,,,,,13,"Blue Sapphire Stables, Agent VI",,
593,C,Drain the Clock,KY,,3 / 75,1/8,10.1,,,,,,,,,,,,,,,7,"Hoppel LLC, Agent XX",,
594,C,Mo Donegal,KY,,3 / 129,1/8,10.1,,,,,,,,,,,,,,,18,"Navas Equine, Agent II",,
595,F,Drain the Clock,KY,,3 / 92,1/8,9.4,,,,,,,,,,,,,,,17,J & R Thoroughbreds LLC,,
596,F,Cyberknife,KY,,3 / 99,1/8,10.1,,,,,,,,,,,,,,,18,Golden Noguez,,
598,C,Golden Pal,KY,,3 / 19,1/8,9.3,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent VIII",,
599,F,Strike Power,LA,,3 / 64,1/8,10.0,,,,,,,,,,,,,,,14,"Omar Ramirez Bloodstock, Agent XXI",,
600,C,Jack Christopher,KY,,3 / 130,1/8,10.0,,,,,,,,,,,,,,,3,"Pick View LLC, Agent XIX",,
601,F,Nashville,PA,,3 / 80,1/8,10.0,,,,,,,,,,,,,,,3,"Global Thoroughbreds LLC, Agent",,
602,C,Hard Spun,KY,,3 / 60,1/8,10.2,,,,,,,,,,,,,,,17,"Caliente Thoroughbreds, Agent XIII",,
603,F,Cyberknife,KY,,3 / 151,1/8,10.4,,,,,,,,,,,,,,,3,"J V C Training and Sales, Agent I",,
604,F,Aloha West,KY,,3 / 105,1/8,10.4,,,,,,,,,,,,,,,6,RiceHorse Stable (Brandon & Ali Rice),,
605,C,Mo Donegal,KY,,3 / 55,1/8,10.1,,,,,,,,,,,,,,,15,"Triple C Sales, Agent",,
606,C,Mutasaabeq,FL,,4 / 121,1/8,10.1,,,,,,,,,,,,,,,13,"Duffy's Racing LLC, Agent I",,
607,C,Authentic,NY,,3 / 134,1/8,9.4,,,,,,,,,,,,,,,12,"de Meric Sales, Agent XIV",,
609,C,Win Win Win,NY,,3 / 159,1/8,10.1,,,,,,,,,,,,,,,1,"Kings Equine, Agent I",,
610,F,Cyberknife,KY,,3 / 3,1/4,20.4,,,,,,,,,,,,,,,10,"Tom McCrocklin, Agent VI",,
611,C,Speightstown,KY,,3 / 148,1/8,10.0,,,,,,,,,,,,,,,6,"Britton Peak, Agent VIII",,
612,C,Nashville,KY,,3 / 89,1/8,10.1,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent II",,
615,F,Liam's Map,KY,,4 / 56,1/8,9.4,,,,,,,,,,,,,,,16,"Golden Rock Thoroughbreds, Agent I",,
616,C,Volatile,NY,,4 / 113,1/4,21.3,,,,,,,,,,,,,,,10,"Tom McCrocklin, Agent VIII",,
618,F,Magic On Tap,FL,,4 / 85,1/8,10.2,,,,,,,,,,,,,,,6,RiceHorse Stable (Brandon & Ali Rice),,
620,C,McKinzie,ON,,4 / 8,1/8,10.0,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent XV",,
622,C,Mitole,KY,,4 / 86,1/8,10.0,,,,,,,,,,,,,,,2,"L. G., Agent I",,
627,C,Corniche,KY,,4 / 92,1/4,21.2,,,,,,,,,,,,,,,10,"Tom McCrocklin, Agent I",,
629,C,Mind Control,NY,,4 / 112,1/8,10.2,,,,,,,,,,,,,,,17,"White Lilac (Katie Miranda), Agent",,
